Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Brand
13500,3,46986,Petrol,184,1,1,2494,Toyota
13750,2,72937,Petrol,184,1,1,2000,Toyota
13950,4,41711,Petrol,184,1,1,2000,Toyota
14950,3,48000,Diesel,201,0,1,2755,Toyota
13750,5,38500,Petrol,184,0,1,2000,Honda 
12950,4,61000,Petrol,285,0,1,2000,BMW
16900,6,94612,Petrol,285,1,1,2000,BMW
18600,4,75889,Petrol,285,1,1,2000,BMW
21500,2,19700,Petrol,285,0,1,1800,BMW
21500,4,19700,Petrol,285,0,1,1800,BMW
12950,6,71138,Petrol,285,0,1,1900,BMW
20950,4,31461,Petrol,285,0,1,1800,BMW
19950,3,43610,Petrol,285,0,1,1800,BMW
19600,4,32189,Petrol,285,0,1,1800,BMW
21500,3,23000,Petrol,285,1,1,1800,BMW
22500,5,34131,Petrol,285,1,1,1800,BMW
22000,3,18739,Petrol,285,0,1,1800,BMW
22750,5,34000,Petrol,180,1,1,1800,Honda 
17950,3,21716,Petrol,180,1,1,1600,Honda 
16750,6,25563,Petrol,180,0,1,1600,Honda 
85943,0,1,Petrol,800,1,1,6500,Ferrari
15950,10,46986,Petrol,180,1,1,1600,Honda 
16950,2,72937,Petrol,180,0,1,1600,Honda 
15950,3,41711,Petrol,180,1,1,1600,Honda 
16950,2,48000,Petrol,180,1,1,1600,Honda 
16250,3,38500,Petrol,180,1,1,1600,Honda 
15950,4,61000,Petrol,180,1,1,1600,Honda 
17495,2,94612,Petrol,282,1,1,1600,Mercedes
15750,3,75889,Petrol,282,1,1,1600,Mercedes
16950,4,19700,Petrol,282,0,1,1600,Mercedes
17950,5,19700,Petrol,282,1,1,1600,Mercedes
12950,4,71138,Petrol,282,1,1,1400,Mercedes
15750,3,31461,Petrol,282,1,1,1400,Mercedes
15950,4,43610,Petrol,282,1,1,1400,Mercedes
14950,4,32189,Petrol,282,1,1,1400,Mercedes
15500,5,23000,Petrol,282,1,1,1400,Mercedes
15750,4,34131,Petrol,184,0,1,1400,Toyota
15950,5,18739,Petrol,184,0,1,1400,Toyota
14950,4,34000,Petrol,184,1,1,1400,Toyota
15750,5,21716,Petrol,184,1,1,1400,Toyota
14750,4,25563,Petrol,184,0,1,1400,Toyota
13950,4,46986,Petrol,184,0,1,1400,Toyota
16750,5,72937,Petrol,184,1,1,1400,Toyota
13950,4,41711,Petrol,184,0,1,1400,Toyota
16950,5,48000,Petrol,184,0,1,2000,Toyota
16950,4,38500,Petrol,184,0,1,2000,Toyota
19000,5,61000,Petrol,184,0,1,2000,Toyota
17950,6,94612,Petrol,184,1,1,2000,Toyota
15800,4,75889,Petrol,,1,1,1400,Toyota
17950,4,19700,Petrol,184,1,1,2000,Toyota
21950,7,19700,Petrol,184,1,1,1800,Toyota
17950,8,71138,Petrol,160,1,1,2000,Proton
15750,6,31461,Petrol,160,1,1,1400,Proton
20500,5,43610,Petrol,160,1,1,1600,Proton
21950,4,32189,Petrol,160,1,1,1800,Proton
15500,5,23000,Petrol,160,0,1,1600,Proton
13250,6,34131,Petrol,160,1,1,1600,Proton
15250,5,18739,Petrol,160,0,1,1400,Proton
15250,6,34000,Petrol,160,0,1,1400,Proton
18950,7,21716,Petrol,160,1,1,1600,Proton
15999,6,25563,Petrol,160,1,1,1600,Proton
14950,5,19700,Petrol,255,1,1,1400,Mercedes
16500,6,71138,Petrol,255,0,1,1600,Mercedes
18750,7,31461,Petrol,255,1,1,1600,Mercedes
17950,6,43610,Petrol,255,1,1,1600,Mercedes
17950,5,32189,Petrol,255,1,1,1400,Mercedes
16950,6,23000,Petrol,255,1,1,1600,Mercedes
18950,5,34131,Petrol,255,1,1,1600,Mercedes
14950,3,18739,Petrol,255,1,1,1400,Mercedes
22250,2,34000,Petrol,255,1,1,2000,Mercedes
15950,4,21716,Petrol,180,1,1,1400,Toyota
15950,3,25563,Petrol,180,1,1,1400,Toyota
12995,5,19700,Petrol,180,1,1,1400,Toyota
18950,4,71138,Petrol,180,1,1,1598,Toyota
15750,6,31461,Petrol,180,1,1,1400,Honda 
19950,4,43610,Petrol,,0,1,1600,BMW
16950,2,32189,Petrol,283,1,1,1600,BMW
